en,es
Little did he know what was going on behind his back.,Poco sabía él de lo que ocurría a sus espaldas.
I'm still not very good at volleyball.,Todavía no soy muy bueno al vóleibol.
The firefighters put out the fire in the blink of an eye.,Los bomberos apagaron el fuego en un abrir y cerrar de ojos.
Don't let your house smell like tuna.,No dejes que tu casa huela a atún.
It'll go fine; don't be afraid!,"¡Irá bien, no temas!"
I certainly hope that'll happen.,Realmente confío en que eso sucederá.
I'm afraid of dentists.,Me dan miedo los dentistas.
You promised.,Vos prometiste.
She'll have to wait for him.,Ella tendrá que esperarlo.
Is it enough?,¿Es suficiente?
My aunt visited us.,Mi tía nos visitó.
Tom claims he was once abducted by aliens.,Tom afirma que una vez fue abducido por los extraterrestres.
The sun is shining in my face.,El sol brilla en mi cara.
Life is like a box of chocolates: you never know what you're gonna get.,La vida es como una caja de chocolates: nunca sabes lo que te va a tocar.
The universe is a gigantic atom and everything is affected by it.,El universo es un átomo gigante y todo es afectado por él.
I read a book as I walked.,Leía un libro mientras caminaba.
Common sense is the least common of the senses.,El sentido común es el menos común de los sentidos.
The prodigal son returned home.,El hijo pródigo volvió a casa.
I think it's viable.,Creo que es viable.
I had planned something.,Yo había planeado algo.
I want him to read this.,Quiero que lea esto.
He made me go.,Él me hizo ir.
Who's laughing?,¿Quién se está riendo?
Let me think for a minute.,Déjame pensar un momento.
Please help me take this lid off.,"Ayúdame a quitar esta tapa, por favor."
We've arrived safe and sound.,Hemos llegado sanos y salvos.
It is a colonial divide-and-conquer strategy to pit religious people against one another.,Enfrentar a la gente religiosa el uno contra el otro es una estrategia colonial de dividir y conquistar.
Twice two is equal to four.,Dos por dos son cuatro.
The boy remained silent.,El niño se mantuvo en silencio.
He likes taking a walk by himself.,A él le gusta ir a pasear solo.
I try to keep a low profile now.,Actualmente procuro no destacar mucho.
Tom said he wished he hadn't left the windows open.,Tom dijo que desearía no haber dejado abiertas las ventanas.
But have you received the messages?,"Pero, ¿recibiste los mensajes?"
The teapot started to whistle.,La tetera empezó a silbar.
Tom got off at the wrong station.,Tom se bajó en la estación equivocada.
"Hello, gorgeous!",¡Hola guapo!
Wait for Tom.,Espera por Tom.
You're not at all what I expected.,De ninguna manera sois lo que esperaba.
"If you didn't put this here, then who did?","Si tú no pusiste esto aquí, ¿entonces quién?"
We're here because we want to talk to Tom.,Estamos aquí porque queremos hablar con Tom.
Tom is naked.,Tom anda jiruta.
I own some very old stamps.,Poseo algunos sellos muy antiguos.
"Speak clearly, I don't understand what you are saying.","Habla claro, no entiendo lo que dices."
The motive is unknown.,No se conoce el motivo.
Go tell him yourself.,Ve a decírselo tú mismo.
I tried to forget you.,Intentaba olvidarte.
I'm incredibly busy.,Estoy increíblemente ocupado.
Machines that his company produces are superior to ours.,Las máquinas que produce su compañía son superiores a las nuestras.
I helped Tony.,Le ayudé a Tony.
She'd like him to get in touch with her as soon as possible.,Ella quisiera que él se pusiera en contacto con ella tan pronto como sea posible.
I have a ringing in my ears.,Tengo un zumbido en los oídos.
The lie got him in trouble when his boss found out the truth.,Esa mentira lo metió en problemas cuando su jefe descubrió la verdad.
I asked my boss for a salary advance.,He pedido a mi jefe un adelanto del sueldo.
Remember to see him tomorrow.,Recuerda ir a verlo mañana.
You should be ashamed of yourselves.,Debería daros vergüenza.
I arrived in London.,Llegué a Londres.
It didn't seem that important.,No parecía tan importante.
But what has this to do with birds!,"Pero, ¡qué tiene esto que ver con los pájaros!"
I ate half the apple before I noticed there was a worm in it.,Me comí media manzana antes de darme cuenta de que había un gusano dentro.
Hurry.,Apresúrese.
All I want is some companionship.,Todo lo que quiero es algo de compañía.
Everything is getting cheap.,Todo se está haciendo barato.
You haven't once said you're sorry.,No te has disculpado ni una vez.
Is everyone out of there?,¿Están todos ahí fuera?
"He only speaks English and German, and I don't understand any of them.","Él solo habla inglés y alemán, y yo no entiendo ninguno de ellos."
Tom had a heat stroke.,Tom tuvo un golpe de calor.
The fire was put out before it got serious.,El incendio fue extinguido antes que se tornara serio.
A home is more than a mere building.,Una casa es más que un mero edificio.
Are you in there?,¿Están ahí dentro?
He is mad about you.,Él está loco por ti.
I hope Tom didn't lose his temper.,Espero que Tom no haya perdido los estribos.
Tom ate all the leftovers.,Tom se comió todas las sobras.
Tom is on a mission.,Tom está en una misión.
She asked me to take care of the boy when she's not here.,Ella me pidió que cuidara de el niño cuando no estuviera aquí.
Don't tell me what I can't do.,No me digas lo que no puedo hacer.
How far is it from here to the museum?,¿Qué distancia hay hasta el museo?
Have you checked out Tom's music yet? I dig his sound.,¿Has escuchado la música de Tom? Me encanta cómo suena.
I need a good lawyer.,Necesito un buen abogado.
I am used to low temperatures.,Estoy acostumbrada a las bajas temperaturas.
"The class being over, the students left quickly.","Habiendo acabado la clase, los estudiantes se fueron rápidamente."
In the worst case scenario we'll just have to look as happy as we can.,En el peor de los casos solo tendremos que aparentar ser tan felices como podamos.
This will always be your home.,Esta siempre será tu casa.
"Oh, what is this?",¡Oh! ¿Qué es esto?
Look after them.,Cuídalos.
I knew you'd say that.,Sabía que lo dirías.
That's a very good car.,Ese es un coche muy bueno.
This steel is stainless.,Este acero es inoxidable.
Tom doesn't know where Mary graduated from.,Tom no sabe de dónde se graduó Mary.
We're out of bullets.,No nos queda ninguna bala.
I will read many sentences in Esperanto.,Leeré muchas frases en esperanto.
You were brushing your teeth.,Te estabas cepillando los dientes.
He is a lawyer and must be treated as such.,"Él es un abogado, y debe ser tratado como tal."
I'm going to stay at your house until Sunday morning.,Me voy a quedar en tu casa hasta el domingo por la mañana.
This data is incorrect.,Estos datos están incorrectos.
That's a lemon tree.,Eso es un limonero.
I'm pissed off!,¡Estoy indignada!
It's best for Tom not to be left alone in that frame of mind.,Lo mejor para Tom es no dejarlo solo en ese estado de ánimo.
They did the best that they could do.,Lo hicieron lo mejor que pudieron.
We played baseball.,Jugábamos al béisbol.
It's not good to wake a sleeping snake.,No es buena idea despertar a una serpiente dormida.
Satisfaction is rooted in the effort and not in the result. A full effort is a complete victory.,La satisfacción radica en el esfuerzo y no en el resultado. Un esfuerzo total es una victoria completa.
Welcome to France!,¡Bienvenidos a Francia!
There aren't many known ruins from this civilization.,Se conocen pocas ruinas de esta civilización.
Where does this word come from?,¿De dónde proviene esta palabra?
He promised not to be late again.,Él prometió nunca más llegar tarde.
I drank milk.,Yo bebí leche.
Each time there are fewer left.,Cada vez quedan menos.
Show me tangible data.,Muéstrame datos tangibles.
All of the cookies are in the shape of stars.,Las galletas son todas en forma de estrella.
I'll talk with you when you're not busy.,Hablaré contigo cuando estés desocupada.
"Abortion is an act, a most violent act.","El aborto es un acto, un acto bastante violento."
The other boys smiled.,Los otros chicos sonrieron.
You had me fooled.,Me tomaste por tonto.
There are plants that repel insects.,Hay plantas que ahuyentan los insectos.
None of them is alive.,Ninguno de ellos está vivo.
He has a wife and two young children to provide for.,Él tiene una esposa y dos niños pequeños que mantener.
That's very sensible.,Eso es muy razonable.
How did she discover that?,¿Cómo descubrió eso?
Poverty teaches you to eat bread without butter.,La miseria te enseña a comer pan sin mantequilla.
Get started.,Empieza.
You must take your passport to the bank.,Debes llevar tu pasaporte al banco.
How tall he is!,¡Qué grandote!
That's surely a misunderstanding.,Seguramente se trate de un malentendido.
You can take today off.,Puedes tomarte el día libre.
He made me smile.,Me hizo sonreír.
The man speaks English with a German accent.,El hombre habla inglés con un acento alemán.
I can relate with people from different nations and culture thanks to my foreign experience.,Me puedo relacionar con gente de naciones y culturas distintas gracias a mi experiencia en el extranjero.
The boy is working.,El chico está trabajando.
We have to expect the worst.,Tenemos que esperar lo peor.
Shall I change the water for the flowers?,¿Quieres que yo cambie el agua de las flores?
I do not remember if I have already added salt.,Yo no recuerdo si ya le añadí sal.
Don't talk about work. We're on vacation.,"No habléis de trabajo, estamos de vacaciones."
The principal feature of the conference is the buffet.,La principal característica de la conferencia es el bufé.
I spend all day coughing.,Llevo todo el día tosiendo.
All the carnations I grow end up withering.,Todos los claveles que siembro terminan marchitándose.
Tom's dog wanted to go outside.,El perro de Tom quería salir fuera.
I am too tired to run.,Estoy demasiado cansado para correr.
"Don't worry, present day cosmetic surgery is much better than it used to be in Doctor Frankenstein's days.","No te preocupes, hoy en día la cirugía plástica es mucho mejor que en los tiempos del Dr. Frankenstein."
"New look, same great taste!","¡Nueva imagen, el mismo sabor de siempre!"
I would do anything for you.,Haría cualquier cosa por ti.
You don't need to patronize me.,No necesitas ser condescendiente conmigo.
John played guitar and his friends sang.,John tocaba la guitarra y sus amigos cantaban.
What do you think about your boss's plan?,¿Qué opinas del plan de tu jefe?
Let me know if there is anything I can do.,Hazme saber si hay algo que yo pueda hacer.
Tom heard Mary talking to John.,Tom oyó a Mary charlar con John.
Where is your room?,¿Dónde está vuestra habitación?
He never speaks unless spoken to.,Él nunca habla al menos que le hablen.
Tom got here on foot.,Tom llegó aquí a pie.
I cry whenever I listen to this song.,"Cada vez que escucho esta canción, lloro."
They shall not pass!,¡No pasarán!
She wants to drink some warm milk.,Ella quiere tomar un poco de leche tibia.
Don't be late.,No lleguen tarde.
Count to thirty.,Cuente hasta treinta.
You must know how to forgive to be happy.,Debes saber perdonar para ser feliz.
I cannot console Taninna. She doesn't want to talk to anyone.,No puedo consolar a Taninna. Ella no quiere hablar con nadie.
That's accurate.,Es exacto.
Obey your parents.,Obedece a tus padres.
This is completely irrelevant.,Esto es completamente irrelevante.
You should be more thoughtful of your safety.,Deberías de estas más atento a tu seguridad.
You're fine.,Usted está bien.
She asked me if I could sew.,Ella me preguntó si sabía coser.
She always wanted to do things her way.,Ella siempre quiso hacer las cosas a su manera.
You're too naive.,Eres demasiado ingenuo.
This type of phone sells very well.,Este tipo de celular se vende muy bien.
Sign it after reading it.,Fírmelo después de leerlo.
What is the reason for that lie?,¿Cuál es el motivo para aquella mentira?
Tom begged for something to eat.,Tom rogó por algo de comer.
I watched John and Mary walking hand in hand.,Vi a John y a Mary andando agarrados de las manos.
"When you're done with the book, put it back where you found it.","Cuando te hayas acabado el libro, déjalo donde lo encontraste."
They called it mass murder.,Ellos lo llamaron una masacre.
I don't want to drink anything cold.,No quiero beber nada frío.
What has happened to Tom?,¿Qué le ha pasado a Tom?
This meat stays good in cold weather.,Esta carne permanece bien en climas fríos.
"My goal was not really to learn Russian, but only to be with her in the same course.","Mi objetivo no era realmente aprender ruso, sino solo estar con ella en el mismo curso."
You are doing something inappropriate.,Te zarpas.
"If it's free, get as much as you can.","Si es gratis, coge tanto como puedas."
I've already seen that movie.,Ya he visto esa película.
There's an empty bedroom in the house.,En la casa hay una habitación vacía.
I will visit you tomorrow without fail.,Te visitaré mañana sin falta.
I had a tough day.,Tuve un día difícil.
I feel like a siesta.,Tengo ganas de echarme una siesta.
"Save your breath, Tom.","No vale la pena hablar, Tom."
The outside of the house was very run down.,El exterior de la casa estaba muy deteriorado.
I'm losing weight.,Estoy adelgazando.
Tom was in a hurry to leave.,Tom tenía prisa por irse.
The news of his sudden death astounded me.,La noticia de su súbita muerte me sorprendió.
I'm not planning to stay in Australia much longer.,No pienso quedarme en Australia mucho más tiempo.
We'll protect Tom.,Protegeremos a Tom.
Tom has trouble concentrating on one thing.,Tom tiene problemas para concentrarse en una cosa.
She took her seat at the piano and began to play.,Ella se sentó junto al teclado y comenzó a tocar.
The world doesn't revolve around you.,El mundo no gira alrededor tuyo.
There are many good reasons not to do it.,Hay muchas buenas razones para no hacerlo.
I had never been so scared.,Yo nunca he estado tan asustado.
He slept in the car.,Durmió en el coche.
Don't hit the dog.,No le pegues al perro.
Let's go have a drink.,Vamos a tomar algo.
My best friend is in Rome now.,Mi mejor amigo está ahora en Roma.
I'm still too young.,Aún estoy demasiado joven.
I didn't go to the market.,Yo no fui al mercado.
The wind blew all day.,El viento sopló todo el día.
A piano is expensive.,Un piano es caro.
What the hell is that thing?,¿Qué diablos es esa cosa?
Health is not valued until sickness comes.,No se valora la salud hasta que viene la enfermedad.
I like the mountain more than the sea.,La montaña me gusta más que el mar.
Two weeks went by.,Pasaron dos semanas.
Tom wants to learn Basque.,Tom quiere aprender euskera.
I helped Tom.,Ayudé a Tom.
He was the only one who came to the party.,Él fue el único que vino a la fiesta.
Tom doesn't spend much time in Boston.,Tom no pasa mucho tiempo en Boston.
Snow covered the bus.,La nieve ha cubierto el autobús.
How many times do I need to repeat it?,¿Cuántas veces tengo que repetirlo?
He's often mistaken for a student.,A él lo confunden con un estudiante a menudo.
"Today, his body is all bruised up. He shouldn't have gotten involved in that fight.",Hoy tiene el cuerpo magullado. No debería haberse metido en esa pelea.
I think it's time for me to stop allowing her to always have her own way.,Creo que es hora de dejar de permitirle que se salga siempre con la suya.
I want you to keep your promise.,Quiero que cumplas tu promesa.
Tom enjoys reading books in French.,A Tom le gusta leer libros en francés.
"Every time I listen to this song, I cry.","Cada vez que escucho esta canción, lloro."
Alf refuses to swim.,Alf se niega a nadar.
Tom will eat cake.,Tomás va a comer torta.
The killer was sentenced to life in prison.,El asesino fue condenado a cadena perpetua.
How is your surname written?,¿Cómo se escribe su apellido?
I forgot my PIN number!,Se me olvidó mi NIP.
I'm going to go talk to Tom.,Voy a ir a hablar con Tom.
"Tom eats pizza with a fork, but Mary eats it with her hands.","Tom se come la pizza con tenedor, pero María se la come con las manos."
Love is by nature blind.,El amor es ciego por naturaleza.
"Every time I read the Bible, I am deeply moved.",Cada vez que leo la Biblia me siento profundamente conmovido.
You asked me to help.,Tú me pediste ayuda.
Tom hasn't taken a bath since three weeks ago.,Tom no se ha dado un baño desde hace tres semanas.
I told them to clean their rooms.,Les dije que limpiasen sus habitaciones.
I get nauseous whenever I fly.,Tengo náuseas cuando vuelo.
I'll get told off.,Me van a echar la bronca.
The Spaniards of the past were courageous and Christian. The ones of today are gutless and godless.,"Los antiguos españoles eran valientes y cristianos, los actuales son cobardes y ateos."
Tom gets cross easily.,Tom se enfada con facilidad.
I'd like to have a cat.,Me gustaría tener un gato.
Today is a fabulous day.,Hoy es un día fabuloso.
How do you say it in Spanish?,¿Cómo se dice eso en español?
We will be back tonight.,Volveremos por la noche.
You can't go home until 2:30.,No te puedes ir a casa hasta las dos y media.
He likes her and she likes him.,A él le gusta ella y a ella le gusta él.
Which cap is yours?,¿Cuál sombrero es tuyo?
I wonder if Tom is coming to Boston next weekend.,Me pregunto si Tomás vendrá a Boston el próximo fin de semana.
The washing machine is making a strange sound.,La lavadora está haciendo un ruido raro.
I like watercolors more than pastels.,Me gusta más la acuarela que el pastel.
We don't want to right now.,Ahora no queremos.
I'll give you more of them next week.,Te daré más la próxima semana.
Véronique loves bouquets of flowers.,A Véronique le gustan los ramos de flores.
I will be the cook tonight.,Esta noche yo seré el cocinero.
Tom likes beans.,A Tom le gustan los frijoles.
I wasn't asking that.,No pregunté eso.
That's not what I hear.,Eso no es lo que yo oigo.
Nobody came.,Nadie vino.
Celebrate in style!,¡Celebren con estilo!
I put my hand on her shoulder.,Puse mi mano en su hombro.
I can't speak French at all.,No sé hablar nada de francés.
My sister works in a laboratory.,Mi hermana trabaja en un laboratorio.
Your problems will go away as soon as you dump her.,Tus problemas acabarán en el instante en que la dejes.
I took the opportunity to visit Rome.,Aproveché la oportunidad de visitar Roma.
I'm the gardener.,Soy el jardinero.
Do you have a sister?,¿Tiene usted una hermana?
Where did I put my magic wand?,¿Dónde puse mi varita mágica?
"If we allow them to censor our freedom of expression, we deserve what happens to us.","Si permitimos que estos censuren nuestra libertad de expresión, entonces merecemos lo que nos pase."
I am leaving town for a few days.,Me voy de la ciudad por un par de días.
I think I've forgotten something.,Creo que he olvidado algo.
Spain is a tourist country.,España es un país turístico.
Decide for yourself what you think is normal.,Decide por ti mismo lo que consideras normal.
I wonder where he is now.,Me pregunto dónde estará ahora.
"At home, we speak Spanish and Dutch.",En casa hablamos español y neerlandés.
Please put your waste in the bins outside.,Por favor deshágase de su basura en los botes de basura de afuera.
How long will you be staying?,¿Por cuánto se van a quedar?
It's incredible.,Es increíble.
Are you a wunderkind?,¿Eres un niño prodigio?
This computer costs 40% less in the United States than in Brazil.,Este ordenador cuesta el 40% menos en los Estados Unidos que en Brasil.
Does Tom have the ability to do that?,¿Tiene Tom la capacidad para hacer eso?
I found myself lying in my bedroom.,Me encontré tumbado en mi habitación.
Tom knits.,Tom teje.
I am Ricardo.,Soy Ricardo.
Space is full of mysteries.,El espacio está lleno de misterios.
Your students don't like me.,No les caigo bien a tus estudiantes.
It was a good idea to create Tatoeba.,Fue una buena idea crear Tatoeba.
Is that boy a student?,¿Aquel niño es estudiante?
Why are you always whining?,¿Por qué siempre te estás quejando?
What does this girl need to get better?,¿Qué hace falta a esta chica para que se cure?
What do you usually eat for supper?,¿Qué acostumbráis a cenar?
I'm having some problems compiling this software.,Tengo problemas para compilar este programa.
Those are my pants.,Esos son mis pantalones.
Is Tom married?,¿Tomás está casado?
Tom makes a difference.,Tom marca la diferencia.
Where did you put my headphones?,¿Dónde pusiste mis audífonos?
How long have you been in France?,¿Cuánto tiempo has estado en Francia?
Iron is a very important metal.,El hierro es un metal muy importante.
What do you intend to do from now on? Do you have an objective?,¿Que pretendes hacer a partir de ahora? ¿Tienes un objetivo?
We spent the night at a five-star hotel.,Pasamos la noche en un hotel de cinco estrellas.
The tigers escaped from the zoo.,Los tigres escaparon del zoológico.
Tom doesn't remember too much about what happened that day.,Tom no recuerda mucho acerca de lo que sucedió aquel día.
The prophecy is fulfilled.,La profecía se ha cumplido.
"Suddenly, I blacked out.","De repente, me desmayé."
"I can't turn it on, because the switch is broken.",No puedo encenderlo porque el interruptor está roto.
The cost of life increased drastically.,El coste de la vida ha aumentado drásticamente.
Absolute privacy on Facebook is an illusion. It doesn't exist in reality.,"La protección absoluta de la vida privada en Facebook es una ilusión, no existe en realidad."
John goes to the market.,John va al mercado.
They stopped kissing.,Se dejaron de besar.
Do you want to wait?,¿Quieres esperar?
Give me half of it.,Dame la mitad.
You have to keep fighting.,¡Tenés que seguir luchando!
I waited for five hours.,Esperé durante cinco horas.
The first one to get there wins.,"El que llegue primero, gana."
My head is full of school.,Mi cabeza está llena de escuela.
You're the only one who volunteered to help.,Tú eres la única que se presentó voluntaria para ayudar.
Smell it.,Huélelo.
Tom seldom puts sugar in his coffee.,Tom casi nunca le pone azúcar al café.
I could order you to stay.,Podría ordenarte que te quedes.
Tom wore a white shirt.,Tom llevaba una camisa blanca.
You have to work hard if you want to succeed.,Debes trabajar duro si quieres tener éxito.
I can fight my battles myself.,Yo solo puedo pelear mis batallas.
The little boy is afraid of the dark.,El niño tiene miedo de la oscuridad.
That was Tom.,Fue Tom.
"I'm sorry, but it's impossible.","Lo siento, pero es imposible."
I lost my balance on the muddy road.,Perdí el equilibrio en el camino lodoso.
You're dangerous.,Ustedes son peligrosos.
She was raised in a wealthy family.,Ella se ha criado en una familia rica.
It has been confirmed.,Ha sido confirmado.
The two brothers are quite unlike in their appearance.,Físicamente ambos hermanos apenas se parecen.
You will improve your pronunciation by speaking more.,Mejorarás tu pronunciación hablando más.
Which train are you catching?,¿Qué tren vas a coger?
I don't think that you're sick.,No creo que estés malo.
Plant trees!,¡Plante árboles!
Do you know what you're asking?,¿Sabes lo que estás preguntando?
"When he got to the station, the train had already left.",Cuando llegó a la estación el tren ya había salido.
I need to test you for tuberculosis.,Necesito hacerte la prueba de la tuberculosis.
They're too dangerous.,Son demasiado peligrosos.
Have you read Romeo and Juliet?,"¿Has leído ""Romeo y Julieta""?"
They seem surprised.,Parecen sorprendidos.
Pat is very talkative.,Pat es muy parlanchín.
I don't need to eat in a restaurant.,No necesito comer en un restaurante.
Either all or none.,O todo o nada.
My brother is an idiot.,Mi hermano es un idiota.
Do you believe ghosts exist?,¿Crees que existen los fantasmas?
A magnet has an electric charge.,Un imán tiene carga eléctrica.
I hope that's enough.,Espero que eso sea suficiente.
Please don't go there by yourself.,Por favor no vayáis allí vosotros solos.
I don't like oysters.,No me gustan las ostras.
Did you know there are carnivorous tortoises?,¿Sabíais que hay tortugas carnívoras?
Why don't you get some sleep?,¿Por qué no duermes un poco?
He is walking very slowly.,Está caminando muy despacio.
Tom taught me French.,Tom me enseñó francés.
She yelled at the children to be quiet.,Ella chilló a los niños para que se callaran.
Whose bag is this?,¿De quién es esta mochila?
It was fantastic.,Estuvo fantástico.
Keep your pants on.,No te quites los pantalones.
"When they saw Tom, they started crying.","Cuando vieron a Tom, empezaron a llorar."
Yes.,Sí.
What color is it?,¿De qué color es?
This medicine helps relieve muscle pain.,Este medicamento ayuda a aliviar el dolor muscular.
"If there existed a market for sentences, our grammatical speculations would suddenly make sense.","Si existiera un mercado de frases, nuestras especulaciones gramaticales de repente cobrarían sentido."
The program lacks proper accreditation.,El programa carece de acreditación adecuada.
Tom is taller than Mary.,Tom es más alto que Mary.
He is almost always at home.,Él casi siempre está en la casa.
Tom worked hard all summer.,Tom trabajó duro todo el verano.
"Why did the monkey fall out of the tree? ""I don't know, Tom. Why?"" ""Because it was dead.""","¿Por qué se cayó el mono del árbol? ""No sé, Tomás. ¿Por qué?"" ""Porque estaba muerto."""
I kind of liked them.,Creo que me gustaban.
He broke the window on purpose.,Él rompió la ventana a propósito.
What did the doctor say?,¿Qué ha dicho el médico?
He is much inferior to me in English.,Es muy inferior a mí en inglés.
I'm being good to you this morning.,Yo estoy siendo buena con ustedes esta mañana.
I'm not afraid of work.,El trabajo no me da miedo.
"At last, they began to count down cautiously.","Finalmente, ellos comenzaron la cuenta regresiva con cautela."
The mother is dressing the child.,La madre está vistiendo al niño.
Will it be a difficult exam?,¿Será un examen difícil?
We're having dinner.,Estamos cenando.
I'm so sorry for what I did.,Lamento lo que hice.
Would you give me the recipe for your salad?,¿Me darías la receta de tu ensalada?
Tom put his phone in his pocket.,Tom puso su teléfono en su bolsillo.
Can you understand this language?,¿Puedes entender esta lengua?
How often are Tom and Mary late for school?,¿Qué tan seguido llegan tarde a la escuela Tom y Mary?
These books are yours.,Estos libros son tuyos.
The lecture lasted for two hours.,El discurso duró dos horas.
"If for some reason a man stopped thinking, that man would no longer be a man.","Si por alguna razón un hombre dejara de pensar, ese hombre ya no sería un hombre."
You're ugly.,Eres feo.
Tom was talking to us.,Tom estaba hablando con nosotros.
I want to eat pizza tonight.,Quiero comer pizza esta noche.
I've turned into a robot.,Me había convertido en un autómata.
Let's keep it.,Mantengámoslo.
They are going.,Ellos se van.
I'll pick Tom up in an hour.,Recogeré a Tom en una hora.
He has a dinosaur on his head!,¡Lleva un dinosaurio puesto en la cabeza!
We hugged Mary.,Abrazamos a Mary.
The letter does not say what time she will come up to Tokyo.,En la carta no dice cuándo vendrá ella a Tokio.
Yesterday Tom stayed home all day.,Ayer Tom se quedó en casa todo el día.
"Bread is made from flour, water, and often yeast.","El pan se fabrica con harina, agua, y añadiendo frecuentemente levadura."
Is there anyone here who disagrees?,¿Alguien aquí no está de acuerdo?
Keep out!,Prohibido pasar.
These sentences are strange.,Estas oraciones son raras.
I was foolish enough to believe it.,Yo fui tan tonto como para creerlo.
I'm glad you're here.,Me alegro de que estés aquí.
Don't bother me anymore.,No me molestes más.
My mother objected to my going to the Middle East.,Mi madre se opuso a que yo fuera a Medio Oriente.
There's a serious problem.,Hay un problema serio.
I just don't feel like celebrating my birthday.,Es solo que no tengo ganas de celebrar mi cumpleaños.
They try the rice.,Ellas prueban el arroz.
I want to watch what's on TV right now.,Quiero ver qué está dando ahora en la televisión.
Next year I will have been studying English for five years.,El año que viene haré cinco años de estudiar inglés.
I am not concerned with this affair.,A mí no me incumbe este asunto.
I think you're right.,Pienso que tienes razón.
"Dad, here's the coffee.","Papá, aquí está el café."
He can't take care of himself.,Él no se puede cuidar solo.
Tom might've been murdered.,Tom podría haber sido asesinado.
You can't have your cake and eat it too.,No se puede nadar y guardar la ropa.
Where is everybody?,¿Dónde están todos?
"Thanks, buddy!","¡Gracias, colega!"
I'm not a maid.,No soy una servienta.
Do you like Arabic coffee?,¿Te gusta el café árabe?
He started to learn Spanish from the radio.,Él empezó a aprender español por la radio.
Tom decided to stay.,Tom decidió quedarse.
I don't know whether George will come or not.,No sé si George vendrá.
"The moment she saw me, she burst into tears.","En el momento en que me vio, se echó a llorar."
"Name and address, please.","Nombre y dirección, por favor."
I think it's going to rain today.,Creo que va a llover hoy.
I will stay at home.,Me voy a quedar en casa.
Tom fought with all his might.,Tom luchó con toda su fortaleza.
Do something!,¡Haz algo!
"For three nights starting January 3rd, please.","Para tres noches empezando el 3 de enero, por favor."
He was looked up to by all his friends.,Fue admirado por todos sus amigos.
They will accompany you.,Ellos los acompañarán.
Tom didn't see Mary.,Tom no vio a Mary.
I'm a student.,Soy un estudiante.
"In fact, he didn't go to the church.","En realidad, él no fue a la iglesia."
Can it be true?,¿Puede ser cierto?
Sami has a monkey.,Sami tiene un mono.
I couldn't come to the birthday party.,No pude ir a su fiesta de cumpleaños.
It's hard to distinguish you from your brother.,Es difícil distinguirte de tu hermano.
Tom is leaving in three days.,Tom se va en tres días.
