French,Tamil
navré,மன்னிக்கவும்
finis,முடிந்தது
forcé,வலிமை
lutte,போராட்டம்
jouez,விளையாடு
roman,நாவல்
nommé,நியமிக்கப்பட்டார்
potes,நண்பர்கள்
chine,சீனா
haine,வெறுக்கிறேன்
fleur,மலர்
roule,உருட்டப்பட்டது
jeudi,வியாழன்
élève,மாணவர்
pêche,மீன்பிடித்தல்
brûle,எரிகிறது
vingt,இருபது
final,இறுதி
brûlé,எரித்தனர்
sauté,வதக்கிய
ferez,செய்வார்கள்
singe,குரங்கு
colle,பசை
fallu,தேவையான
étape,மேடை
rayon,ஆரம்
jesse,ஜெஸ்ஸி
quant,என
remis,ஒப்படைத்தார்
black,கருப்பு
parte,இலைகள்
moque,கேலி செய்கிறது
têtes,தலைகள்
piano,பியானோ
désir,ஆசை
sales,அழுக்கு
fumée,புகை
tasse,கோப்பை
essai,கட்டுரை
miles,மைல்கள்
soins,கவனிப்பு
robin,ராபின்
copie,நகல்
jaune,மஞ்சள்
dames,பெண்கள்
betty,பெட்டி
helen,ஹெலன்
échec,தோல்வி
sauce,சாஸ்
boule,பந்து
bleue,நீலம்
tyler,டைலர்
œuvre,கலைப்படைப்பு
texas,டெக்சாஸ்
paire,ஜோடி
idéal,சிறந்த
juger,நீதிபதி
avoue,ஒப்புக்கொள்
aides,உதவியாளர்கள்
poule,கோழி
jamie,ஜேமி
molly,மோலி
musée,அருங்காட்சியகம்
chers,அன்பே
sable,மணல்
irais,போகும்
brown,பழுப்பு
lucas,லூகாஸ்
posez,போஸ்
digne,தகுதியான
congé,விடு
causé,காரணம்
stade,அரங்கம்
japon,ஜப்பான்
mamie,பாட்டி
terry,டெர்ரி
huile,எண்ணெய்
fêter,கொண்டாடுகிறார்கள்
croix,குறுக்கு
large,பரந்த
moral,ஒழுக்கம்
trahi,காட்டிக்கொடுத்தார்
brave,துணிச்சலான
géant,மாபெரும்
taper,வகை
sally,சாலி
tours,கோபுரங்கள்
alibi,அலிபி
décès,மரணம்
fêtes,விடுமுறை நாட்கள்
davis,டேவிஸ்
bruce,புரூஸ்
panne,முறிவு
bains,குளியல்
loyer,வாடகை
actes,செயல்கள்
êtres,உயிரினங்கள்
moche,அசிங்கமான
douée,பரிசளித்தார்
juifs,யூதர்கள்
forts,வலுவான
miami,மியாமி
baise,ஃபக்
nager,நீந்த
nôtre,எங்கள்
placé,இடம்
péché,மீன்பிடித்தல்
katie,கேட்டி
derek,டெரெக்
ailes,இறக்கைகள்
ricky,ரிக்கி
boite,பெட்டி
angle,மூலையில்
neveu,மருமகன்
bleus,நீலம்
marty,தியாகி
pouls,துடிப்பு
tribu,பழங்குடி
taule,சிறை
wayne,வேய்ன்
union,தொழிற்சங்கம்
durer,கடைசி
chats,பூனைகள்
biens,பொருட்கள்
garce,பிச்
tarte,பை
carol,கரோல்
pénis,ஆண்குறி
bible,பைபிள்
gants,கையுறைகள்
oeufs,முட்டைகள்
prier,பிரார்த்தனை
diane,டயானா
soirs,மாலைகள்
frigo,குளிர்சாதன பெட்டி
vince,வின்ஸ்
tuera,கொன்றுவிடும்
grant,மானியம்
guide,வழிகாட்டி
comte,மாவட்டம்
noble,உன்னதமான
kilos,கிலோ
miens,என்னுடையது
album,ஆல்பம்
teddy,டெட்டி
robot,ரோபோ
relax,ஓய்வெடுக்க
mères,தாய்மார்கள்
ethan,ஈதன்
anges,தேவதைகள்
vague,அலை
lewis,லூயிஸ்
vends,விற்க
piégé,பொறி
buvez,குடிக்க
gâché,கெட்டுப்போனது
phase,கட்டம்
barbe,தாடி
dylan,டிலான்
fichu,அடடா
tuyau,குழாய்
adoré,அதை விரும்பினேன்
total,மொத்தம்
nancy,நான்சி
étude,படிப்பு
écart,இடைவெளி
comté,மாவட்டம்
dette,கடன்
diner,இரவு உணவு
rêver,கனவு
micro,ஒலிவாங்கி
liens,இணைப்புகள்
casey,கேசி
léger,ஒளி
sœurs,சகோதரிகள்
volée,திருடப்பட்டது
diras,சொல்வார்கள்
fâché,கோபம்
porno,ஆபாச
enfui,ஓடிவிட்டார்
métro,மெட்ரோ
trous,துளைகள்
roses,ரோஜாக்கள்
douze,பன்னிரண்டு
gibbs,கிப்ஸ்
aidez,உதவி
quinn,குயின்
randy,ராண்டி
amant,காதலன்
bêtes,மிருகங்கள்
lampe,விளக்கு
kenny,கென்னி
oscar,ஆஸ்கார்
nerfs,நரம்புகள்
câble,கேபிள்
avère,மாறிவிடும்
voies,வழிகள்
stylo,பேனா
blake,பிளேக்
métal,உலோகம்
masse,நிறை
baisé,புணர்ந்தார்
keith,கீத்
chefs,சமையல்காரர்கள்
serré,இறுக்கமான
pomme,ஆப்பிள்
elena,எலினா
ellen,எலன்
toast,சிற்றுண்டி
bâton,குச்சி
otage,பணயக்கைதி
couru,ஓடினார்
clown,கோமாளி
penny,பைசா
mette,வைத்தது
pages,பக்கங்கள்
jacob,ஜேக்கப்
dises,என்கின்றனர்
holly,ஹோலி
pires,மோசமான
quart,கால்
issue,விளைவு
white,வெள்ளை
vomir,வாந்தி எடுக்க
cruel,கொடூரமான
homer,ஹோமர்
flash,ஒளிரும்
césar,சீசர்
chaos,குழப்பம்
green,பச்சை
veuve,விதவை
riley,ரிலே
logan,லோகன்
virée,பயணம்
stone,கல்
voter,வாக்கு
mason,கொத்தனார்
motel,விடுதி
poker,போக்கர்
tokyo,டோக்கியோ
jules,ஜூல்ஸ்
évite,தவிர்க்க
angel,தேவதை
fruit,பழம்
aaron,ஆரோன்
marge,விளிம்பு
poing,முஷ்டி
motif,முறை
avril,ஏப்ரல்
sammy,சாமி
vivez,வாழ்க
alpha,ஆல்பா
house,வீடு
brise,தென்றல்
verte,பச்சை
exige,தேவை
marin,கடல் சார்ந்த
fonce,இருண்ட
paige,பைஜ்
franc,பிராங்க்
légal,சட்டபூர்வமான
bonté,நன்மை
acier,எஃகு
subir,உட்பட்டு
kitty,பூனைக்குட்டி
plais,மகிழ்ச்சி அளிக்கிறது
coûté,செலவு
cessé,நிறுத்தப்பட்டது
shawn,ஷான்
megan,மேகன்
direz,நீங்கள் சொல்வீர்கள்
chloé,சோலி
maths,கணிதம்
deuil,துக்கம்
coule,பாய்கிறது
armés,ஆயுதம் ஏந்திய
piqué,மூழ்கினார்
pères,தந்தைகள்
booth,சாவடி
ruiné,அழிவு
prime,முதன்மை
jenna,ஜென்னா
hélas,ஐயோ
vodka,ஓட்கா
mordu,கடித்தது
resto,உணவகம்
shane,ஷேன்
lisez,படித்தேன்
badge,பேட்ஜ்
crève,இறக்கின்றன
local,உள்ளூர்
ayons,வேண்டும்
remet,ஒப்படைக்கிறது
vides,காலி
trône,சிம்மாசனம்
asile,புகலிடம்
louer,வாடகைக்கு
craig,கிரேக்
wendy,வெண்டி
avoué,ஒப்புக்கொண்டார்
puits,நன்றாக
aimée,நேசித்தேன்
basse,குறைந்த
texte,உரை
tuent,கொல்ல
dalle,பலகை
cadre,சட்டகம்
levez,எழுந்திரு
punir,தண்டிக்க
dinde,வான்கோழி
jetez,தூக்கி எறியுங்கள்
poils,முடி
époux,கணவன்
tendu,பதட்டமான
lâché,கோழை
pouce,கட்டைவிரல்
santa,சாண்டா
mêler,கலக்கவும்
diana,டயானா
côtes,விலா எலும்புகள்
délit,குற்றம்
revue,மதிப்பாய்வு
tracy,சுவடு
putes,பரத்தையர்கள்
clara,கிளாரா
nièce,மருமகள்
janet,ஜானட்
usage,பயன்படுத்த
meure,இறக்கின்றன
sourd,செவிடர்
états,மாநிலங்கள்
longs,நீளமானது
linge,கைத்தறி
câlin,அன்புடன்
conçu,வடிவமைக்கப்பட்டது
obéir,கீழ்ப்படியுங்கள்
chant,பாடுவது
tissu,துணி
débat,விவாதம்
baron,பரோன்
genou,முழங்கால்
ralph,ரால்ப்
foiré,நியாயமான
royal,அரச
merdé,மலம்
mafia,மாஃபியா
stars,நட்சத்திரங்கள்
daisy,டெய்சி
ranch,பண்ணை
draps,தாள்கள்
young,இளம்
opéra,ஓபரா
violé,மீறப்பட்டது
hello,வணக்கம்
quête,தேடுதல்
chase,துரத்துகிறது
marco,மார்கோ
grève,வேலைநிறுத்தம்
batte,வௌவால்
rares,அரிதான
mitch,மிட்ச்
tigre,புலி
foire,நியாயமான
carla,கார்லா
euros,யூரோக்கள்
diego,டியாகோ
pneus,டயர்கள்
jouet,பொம்மை
fiers,பெருமை
pisse,சிறுநீர்ப்பை
poème,கவிதை
pendu,தூக்கிலிடப்பட்டார்
ligue,லீக்
irons,போகும்
pique,மண்வெட்டிகள்
sandy,மணல்
météo,வானிலை அறிக்கை
buter,abut
accro,அடிமையான
bougé,நகர்த்தப்பட்டது
acide,அமிலம்
patty,பஜ்ஜி
aidée,உதவியது
saisi,கைப்பற்றப்பட்டது
colin,கொலின்
serre,இறுக்கமான
plats,உணவுகள்
times,முறை
allen,ஆலன்
civil,சிவில்
jetée,கப்பல்துறை
tache,கறை
damon,டாமன்
burke,பர்க்
ellie,எல்லி
satan,சாத்தான்
guère,அரிதாக
plaie,காயம்
cuire,சமைக்க
bidon,முடியும்
sobre,நிதானமான
sonné,திகைத்தார்
canal,சேனல்
pleut,மழை
april,ஏப்ரல்
péter,சுண்டல்
range,நேர்த்தியான
steak,மாமிசம்
drame,நாடகம்
bingo,பிங்கோ
peint,வர்ணம் பூசப்பட்டது
vider,காலி
thème,தீம்
ennui,சலிப்பு
corée,கொரியா
tabac,புகையிலை
bacon,பன்றி இறைச்சி
apres,பிறகு
voile,முக்காடு
règne,ஆட்சி
mines,சுரங்கங்கள்
robes,ஆடைகள்
nuage,மேகம்
payée,செலுத்தப்பட்டது
bazar,பஜார்
juges,நீதிபதிகள்
beach,கடற்கரை
demie,பாதி
votes,வாக்குகள்
nicky,நிக்கி
plomb,முன்னணி
prêté,கடன் கொடுத்தார்
benny,பென்னி
taupe,மச்சம்
salue,வாழ்த்துகிறேன்
naomi,நவோமி
blair,பிளேயர்
noyer,வால்நட்
tordu,முறுக்கப்பட்ட
extra,கூடுதல்
baker,பேக்கர்
stark,அப்பட்டமான
manny,மேனி
erica,எரிகா
villa,வில்லா
vitre,ஜன்னல்
codes,குறியீடுகள்
sensé,விவேகமான
melle,மிஸ்
promo,விளம்பரம்
degré,பட்டம்
bases,அடிப்படைகள்
laser,லேசர்
élite,உயரடுக்கு
haley,ஹேலி
amber,அம்பர்
happy,மகிழ்ச்சி
engin,இயந்திரம்
peste,பிளேக்
nanas,குழந்தைகள்
dépôt,வைப்பு
world,உலகம்
pompe,பம்ப்
joint,முத்திரை
ondes,அலைகள்
guéri,குணமாகிவிட்டது
orage,இடியுடன் கூடிய மழை
mario,மரியோ
crevé,தட்டையானது
sèche,உலர்ந்த
rosie,ரோஸி
volés,திருடப்பட்டது
ronde,சுற்று
doyle,டாய்ல்
livré,புத்தகம்
aprés,பிறகு
filmé,படமாக்கப்பட்டது
wyatt,வியாட்
voyou,குண்டர்
radar,ரேடார்
halte,நிறுத்து
poète,கவிஞர்
admis,ஒப்புக்கொண்டார்
drake,டிரேக்
lydia,லிடியா
chloe,சோலி
