english,hindi
You can't go naked in this hotel.,आप इस होटेल में नंगी नहीं जा सकती।
Your friendship is most precious to me.,तुम्हारी दोस्ती ही मेरे लिए सबसे अनमोल है।
Your friendship is most precious to me.,आपकी दोस्ती ही मेरे लिए सबसे अनमोल है।
Where are your eyes?,तुम्हारी आँखें कहाँ हैं?
Your daughter is not a child anymore.,तुम्हारी बेटी अब बच्ची नहीं है।
You have been beaten. Give in!,तुम हरा दिए गए हो। हार मान भी लो।
It's your move.,तुम्हारी चाल है।
Your hair is too long.,तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।
Mind your own business!,अपने काम से काम रखो!
When is your birthday?,आपका जन्मदिन कब है?
Your bicycle is similar to mine.,तुम्हारी साईकल मेरी साईकल जैसी है।
Is your watch correct?,तुम्हारी घड़ी सही है क्या?
Your examination results are excellent.,तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं।
May we accompany you on your walk?,हम तुम्हारे साथ सैर करने चलें क्या?
You have the freedom to travel wherever you like.,तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।
I think you're right.,मेरे ख़याल से तुम सही हो।
You may be right.,तुम शायद सही हो।
That is no business of yours.,इसका तुमसे कोई लेना-देना नहीं है।
Your house needs repairing.,तुम्हारे मकान को मरम्मत की ज़रूरत है।
Can I use your pencil?,मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?
Here is your bag.,"यह लो, तुम्हारा बस्ता।"
I don't agree with you.,मैं तुमसे सहमत नहीं हूँ।
You've got nothing to complain of.,तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।
Didn't I tell you so?,मैंने तुम्हें बताया नहीं था?
Who is your teacher?,तुम्हारे टीचर कौन हैं?
Either you or I am wrong.,या तुम गलत हो या मैं |
The success resulted from your efforts.,यह कामयाबी तुम्हारे कर्मों का फल है।
The reason why you failed is you did not try hard enough.,तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
It makes no difference whether you agree or not.,"तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।"
It will not make much difference whether you go today or tomorrow.,"तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।"
Be sure to put out the fire before you leave.,जाने से पहले आग को भुजाना मत भूलना।
"Whatever you say, I'll marry her.","तुम जो भी कहो, मैं तो उससे शादी कर के ही रहूँगा।"
I can't allow you to do that.,मैं तुम्हें यह करने नहीं दे सकता।
You can do this with ease.,तुम यह आसानी से कर सकता हो।
"Take off your socks, please.",अपने मोज़े उतारिए।
Your feet are swollen because your shoes are too small.,तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।
Hunger drove him to steal.,भूख ने उसे चोरी करने पर मजबूर किया।
Karate is an art of unarmed defense.,कराटे निहत्थे रक्षा की कला है।
Karate is an art of unarmed defense.,कराटे बेहथियार रक्षा की कला है।
We would die without air.,हम हवा के बिना मर जाएँगे।
Without air there can be no wind or sound on the moon.,वातावरण के बिना चाँद पर हवा और आवाज़ नहीं हो सकतीं।
Look up to the skies.,आसमानों को देखो।
The sky is blue.,आकाश नीला है।
The sky is blue.,आकाश नीला होता है।
The sky clouded over.,आसमान बादल-बादल हो गया।
There are billions of stars in the sky.,आकाश में कई अरब सितारे हैं।
You can see a lot of stars in the sky.,तुम्हें आसमान में बहुत सारे सितारे दिखाई देंगे।
"Seen from the sky, the river looked like a huge snake.",आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।
The rich are not always happier than the poor.,अमीर हमेशा गरीबों से ज़्यादा ख़ुश नहीं होते।
"He may be rich, but he is stingy.",वह अमीर है हो है पर कंजूस भी है।
I'm broke.,मेरा दीवालिया हो चुका है।
There is a gold coin.,सोने का सिक्का है।
Get out your wallet.,अपना बटुआ निकालो।
Get out your wallet.,अपना बटुआ निकालें।
Get out your wallet.,अपना बटुआ निकालिए।
Too much money?,पैसे बहुत ज़्यादा हैं क्या?
A fire broke out near my house.,मेरे घर के पड़ोस में आग लग गई थी।
Business is so slow these days.,कारोबार में आजकल मंदी पड़ गई है।
What number should I call in case of an emergency?,आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?
"In case of emergency, call 119.",आपातकाल में ११९ को फ़ोन करें
I advise you to stop smoking.,मेरे ख़याल से तुम्हे सिगरेट पीना छोड़ देना चहिए।
I advise you to stop smoking.,मैं तुम्हे सिगरेट पीना छोड़ देने की सलाह देना चाह्ता हूँ।
You startled me!,तुमने मुझे डरा दिया!
"To my surprise, she could not answer the question.",मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।
I feel like vomiting.,मुझे उल्टी आ रही है।
Tom started the engine.,टॉम ने इंजन को चालू कर दिया।
Mr Hashimoto is known to everyone.,हाशिमोतो-जी को सभी जानते हैं।
The bridge is safe; you can drive across.,"ब्रिज सुरक्षित है, तुम उसपर गाड़ी चलाकर जा सकते हो।"
Do you know the man standing on the bridge?,तुम ब्रिज पर खड़े हुए आदमी को जानते हो क्या?
It is the students' duty to clean their classrooms.,अपने कक्षालय की सफ़ाई करना विद्यार्थियों का कर्तव्य होता है।
Take off your hat when you enter a classroom.,क्लासरूम में घुसते समय अपनी टोपी उतारा करो।
You must not forget your schoolbooks.,तुम्हे अपनी पाठशाला की पुस्तकें नहीं भूलनी चाहिए।
There are many old temples in Kyoto.,क्योटो में बहुत सारे पुराने मंदिर हैं।
How is it going in the fish market?,मछली बाज़ार में कैसा चल रहा है?
"Fish, please.","मछली, कृप्या।"
Fish live in the water.,मछलियाँ पानी में जीतीं हैं।
Fish live in the sea.,मछलियाँ समुंदर में रहतीं हैं।
I'm allergic to fish.,मुझे मछली से एलर्जी है।
The fisherman exaggerated the size of the fish he had caught.,मछवारे ने पकड़ी हुई मछली के आकार को बढ़ा-चढ़ाकर बताया।
Is there a milkman?,दूधवाला है?
I bought two bottles of milk.,मैंने दूध की दो बोतलें ख़रीदीं।
I ran into an old friend.,मेरी एक पुराने दोस्त से मुलाक़ात हुई।
Misfortunes never come singly.,मुसीबत अकेले नहीं आती।
Rub salt in the wound.,जले पर नमक छिड़कना।
Do you need an ambulance?,आपको ऐमब्यूलेंस की ज़रूरत है क्या?
"Hurry, and you will catch the train.",जल्दी करो तो ट्रेन पकड़ सकते हो।
"Hurry up, and you can catch the train.",जल्दी करोगे तो अभी भी ट्रेन पकड़ सकते हो।
"Hurry up, or you'll miss the bus.",जल्दी करो नहीं तो बस छूट जाएगी।
You make mistakes if you do things in a hurry.,जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।
Please hurry.,जल्दी करो।
Please hurry.,जल्दी कर।
Please hurry.,जल्दी कीजिए
I haven't seen him for a long time.,मैंने उसे बहुत दिनों से नहीं देखा है।
Smoking will do you a lot of harm.,धूम्रपान आपको हानि पहुँचाएगा।
What is the difference between imitation and real diamonds?,असली और नकली हीरों में क्या फ़र्क होता है?
What is done cannot be undone.,होनी को अनहोनी नहीं किया जा सकता।
What is done cannot be undone.,जो हो चुका है सो हो चुका है।
You tried.,तुमने कोशिश की।
You tried.,तूने कोशिश की।
You tried.,आपने कोशिश की।
You drink tea.,तुम चाय पीते हो।
You drink tea.,तुम चाय पीती हो।
You drink tea.,आप चाय पीते हैं।
You drink tea.,आप चाय पीतीं हैं।
Reporter: Did you buy her a kitten?,रिपोर्टर: क्या आपने उसके लिए बिल्ली खरीदी थी?
Our train stopped suddenly.,हमारी ट्रेन अचानक रुक गई।
Please make yourself at home.,इसको अपना घर ही समझो।
Please make yourself at home.,इसको अपना घर ही समझिए।
What's the temperature?,तापमान क्या है?
Take care.,अपना ध्यान रखना।
Take care.,ध्यान रखना।
Take care.,ध्यान रखिएगा।
Take care.,अपना ध्यान रखिएगा।
I fainted.,मैं बेहोश हो गया।
Never mind!,कोई बड़ी बात नहीं है!
You can go home if you like.,चाहो तो घर जा सकते हो।
You can go home if you like.,चाहो तो घर जा सकती हो।
Keep sight of the flag.,झंडे को नज़र में रखना।
A book is lying on the desk.,मेज़ पर एक किताब पड़ी हुई है।
A book is lying on the desk.,डेस्क पर एक किताब पड़ी है।
There is a book on the desk.,मेज़ पर किताब है।
There is a bag on the desk.,मेज़ पर बस्ता रखा हुआ है।
There is a cat under the desk.,मेज़ के नीचे एक बिल्ली है।
I agree with you to a degree.,मैं तुम्हारे साथ एक हद तक सहमत हूँ।
Don't give up hope.,उम्मीद मत छोड़ो।
"Strange as it may sound, this is true.","चाहे सुनने में जितना भी अजीब लगे, यह सच है।"
I will be pleased to help you.,मुझे आपकी मदद करके खुशी होगी।
Turn your face this way.,अपना मूँह इस ओर मोड़ो।
Turn your face this way.,अपना मूँह इस तरफ़ मोड़ो।
I try.,मैं कोशिश करता हूँ।
I don't exist to you.,मैं तुम्हारी आँखों में मर चुका हूँ।
I've lost my glasses.,मेरा चश्मा खो गया है।
I've lost my glasses.,मेरे चश्मे खो गए हैं।
Cancer can be cured if discovered in time.,"कैंसर का अगर समय में पता चल जाए, तो उसका इलाज हो सकता है।"
It's as deep as it is wide.,"जितना गहरा है, उतना ही चौड़ा है।"
It's as deep as it is wide.,"जितनी गहरी है, उतनी ही चौड़ी है।"
Don't be afraid of making mistakes.,ग़लतियाँ करने से मत डरो।
We ought to do our best not to pollute our environment.,हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।
Kanji are difficult to read.,चीनी अक्षर पढ़ने में मुश्किल होते हैं।
The patient was lying in the bed with his eyes closed.,मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।
"Check, please.","चेक, कृप्या।"
I feel cold. Do you mind closing the window?,मुझे ठंड लग रही है। खिड़की बंद कर सकते हो क्या?
Have fun.,मज़े करना।
Have fun.,मौज करना।
Have fun.,मज़े करो।
Have a nice time.,मज़े करो।
Have a good time.,मज़े करो।
Enjoy yourself!,मज़े करो।
"It's been nice talking to you, but I really must go now.","आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।"
Not all the students were present at the class.,कक्षा में सभी विद्यार्थी उपस्थित नहीं थें।
Not all the students were present at the class.,क्लास में सभी छात्र हाज़िर नहीं थे।
The students assisted the professor in the investigation.,छात्रों ने प्रोफेसर की तहकीकात में सहायता करी।
School begins in April.,स्कूल अप्रैल में शुरू होता है।
School begins at eight-thirty.,स्कूल साढ़े-आठ बजे शुरू होता है।
"The more we learn, the better we realize our ignorance.","जितना ज़्यादा हम सीखते हैं, उतना हि बहतर हमें हमारी अज्ञानता का अहसास होता है।"
"After the revolution, France became a republic.","क्रांति के बाद, फ़्रांस एक गणतंत्र बना।"
There's a pub just around the corner.,बस उस कोने के आगे ही एक मदिरालय है।
I'm sure I've seen him before.,मुझे यकीन है कि मैंने उसे पहले देखा हुआ है।
Each member has to pay a membership fee.,हर सदस्य को सदस्यता शुल्क भरना होगा।
"If you shout from the top of a cliff, you can hear the echo of your voice.",अगर तुम ऊँची चट्टान पर जाकर चिल्लाओ तो अपनी आवाज़ की गूँज सुन सकते हो।
Make sure to turn off all the lights before going out.,बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।
I would rather stay at home than go out.,मुझे बाहर जाने से घर में रहना पसंद है।
Didn't you go out?,आप बाहर नहीं गए थें क्या?
Didn't you go out?,तुम बाहर नहीं गए थे क्या?
Didn't you go out?,तू बाहर नहीं गया था क्या?
It is often said that the best way to learn a foreign language is to go to the country where it is spoken.,अक्सर कहा जाता है कि किसी भी विदेशी भाषा को सीखने का सबसे अच्छा तरीका उस देश में जाकर रहना होता है।
Learning a foreign language is fun.,विदेषी भाषा सीखना बहुत मज़ेदार होता है।
Have you been abroad?,आप विदेश गए हुए हैं क्या?
Everybody came to the class on time.,सभी लोग क्लास में समय पर पहुँचे।
How is everyone?,सब लोग कैसे हैं?
Everybody laughed.,सभी हसे।
It is never too late to mend.,सवेरे का भूला साँझ को घर आ जाए तो भूला नहीं कहलाता ।
Cover up the injured man with this blanket.,घायल आदमी को इस कंबल से ढक दो।
Cross off the names of the people who have paid their dues.,"जो पैसे भर चुकें हैं, उनके नाम काट दो।"
Management of a company is different from ownership of a company.,किसी कम्पनी को चलाना उसके मालिक बनने से फ़र्क होता है।
Fix a date for the meeting.,मीटिंग के लिए तारीख पक्की करो।
How many people were present at the meeting?,बैठक मैं कितने लोग मौजूद थे ?
We gave our mother a watch.,हमने हमारी मां को एक घड़ी दी।
We accepted his offer.,हमने उसके प्रस्ताव को स्वीकार कर लिया।
We shared the profit among us all.,हमने मुनाफ़े को अपने बीच बाँटा।
We are against war.,हम जंग के ख़िलाफ़ हैं।
We are against war.,हम युद्ध का विरोध करते हैं।
We should observe the speed limit.,हमे गति सीमा का पालन करना चाहिए।
We are anxious for world peace.,हम विश्व शांति के लिए तत्पर हैं।
We are firmly confident of victory.,हमको अपनी जीत का पूरा यकीन है।
We must abide by the rules of the game.,हमे खेल के नियमों का पालन करना पड़ेगा।
We should do away with the death penalty.,हमें मौत की सज़ा को हटा देना चाहिए।
We must rescue the environment from pollution.,हमें पर्यावरण को प्रदूषण से बचाना चाहिए।
We investigated the matter from all angles.,हमने मामले की हर पहलू से छानबीन करी।
We voted for the candidate.,हमने उस उम्मीदवार को चुना।
We voted for the candidate.,हमने उस उम्मीदवार को अपना मत दिया।
We stayed at a hotel by the lake.,हम झील के पास एक होटल में ठहरे।
We saw the film and had dinner together.,हमने एक साथ फ़िल्म देखी और खाना खाया।
We were surprised at the news.,हम खबर सुनकर चौंक गए।
We talked to each other for a while.,हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।
We are in agreement on this subject.,हम इस विषय पर सहमत हैं।
Our class consists of fifty boys.,हमारी क्लास में पचास लड़के हैं।
Our class consists of fifty boys.,हमारी कक्षा में पचास लड़के हैं।
Our new head office is in Tokyo.,हमारा नया प्रधान कार्यालय टोकियो में है।
Our new head office is in Tokyo.,हमारा नया हेड ऑफिस टोकियो में है।
Our meeting rarely starts on time.,हमारी मीटिंग कभी-कभार ही टाईम पर शुरू होती है।
Our team won the game.,हमारी टीम ने खेल जीता।
My name is Hopkins.,मेरा नाम हॉपकिंस है।
Would you carry my luggage upstairs?,क्या तुम मेरा सामान ऊपर ले जाओगे?
The vase was broken to pieces.,गुलदान टूट कर चूर-चूर हो गया।
Bees are flying among the flowers.,फूलों के बीच मधुमक्खियाँ उड़ रहीं हैं।
The bride suddenly laughed.,दुल्हन अचानक से हँस पड़ी।
The flowers were dying without water.,फूल पानी के बिना मरे जा रहे थे।
