English,Hindi
lividly,क्रोधित होकर
recalescence,पुनर्गणना
cut,काटना
jadishly,जडली
horoscopical,कुंडली
disshroud,पर्दा हटाना
protutory,प्रोटुटोरी
pluries,pluries
impropriety,अनौचित्य
pontifical,बिशप का
adenoma,ग्रंथ्यर्बुद
undiffident,निश्चिन्त
transpolar,ट्रांसपोलर
invoice,चालान
maxillodental,मैक्सिलोडेंटल
lumpishness,गांठदारपन
untransfusible,ERROR
nonextraction,ERROR
inequalness,असमानता
porchlike,बरामदे जैसा
rivalable,प्रतिद्वंद्वी
Ancyrene,एंसीरीन
hydrokinetic,हाइड्रोकाइनेटिक
bole,ठूंठ
arrogative,अहंकारी
Coutet,कॉउटेट
bullboat,बुलबोट
Alopias,अलोपियास
Alpine,अल्पाइन
hymenean,हाइमनियन
undigged,बिना खोदा हुआ
cleidotomy,cleidotomy
pundit,ERROR
Shavese,ERROR
Titanomachy,टाइटैनोमैची
gnatty,गंदा
carcel,कारसेल
concussional,व्याकुलतापूर्ण
phonological,ध्वनी
grammatist,व्याकरणशास्त्री
gasconader,गैसकोनेडर
writative,लेखनात्मक
Berninesque,बर्निनेस्क
